432514725994176512, Sun Feb 09 14:02:01 +0000 2014, None
432514817526480896, Sun Feb 09 14:02:22 +0000 2014, Alaska
432514846022590465, Sun Feb 09 14:02:29 +0000 2014, Kuala Lumpur
432514959080050688, Sun Feb 09 14:02:56 +0000 2014, None
432515170112266240, Sun Feb 09 14:03:46 +0000 2014, Pacific Time (US & Canada)
432515305315655680, Sun Feb 09 14:04:19 +0000 2014, None
432515392901099520, Sun Feb 09 14:04:40 +0000 2014, Tokyo
432515402589949952, Sun Feb 09 14:04:42 +0000 2014, None
432515595226345473, Sun Feb 09 14:05:28 +0000 2014, Beijing
432515595910004737, Sun Feb 09 14:05:28 +0000 2014, Beijing
432515893529038848, Sun Feb 09 14:06:39 +0000 2014, Pacific Time (US & Canada)
432516074592940033, Sun Feb 09 14:07:22 +0000 2014, Pacific Time (US & Canada)
432516147062136832, Sun Feb 09 14:07:39 +0000 2014, None
432516295565656065, Sun Feb 09 14:08:15 +0000 2014, Tokyo
432516340377980928, Sun Feb 09 14:08:25 +0000 2014, Kuala Lumpur
432516343397879809, Sun Feb 09 14:08:26 +0000 2014, Kuala Lumpur
432516350339461120, Sun Feb 09 14:08:28 +0000 2014, Kuala Lumpur
432516796940181504, Sun Feb 09 14:10:14 +0000 2014, Tokyo
432516800270438400, Sun Feb 09 14:10:15 +0000 2014, Kuala Lumpur
432517114570625024, Sun Feb 09 14:11:30 +0000 2014, Jakarta
432517412483649536, Sun Feb 09 14:12:41 +0000 2014, None
432517438446788608, Sun Feb 09 14:12:47 +0000 2014, Tokyo
432517519673262080, Sun Feb 09 14:13:07 +0000 2014, Beijing
432517549444435968, Sun Feb 09 14:13:14 +0000 2014, Eastern Time (US & Canada)
432517561024925696, Sun Feb 09 14:13:16 +0000 2014, Alaska
432517611994091520, Sun Feb 09 14:13:29 +0000 2014, Irkutsk
432517667686481920, Sun Feb 09 14:13:42 +0000 2014, Kuala Lumpur
432517795499102210, Sun Feb 09 14:14:12 +0000 2014, Pacific Time (US & Canada)
432517864101134336, Sun Feb 09 14:14:29 +0000 2014, None
432517986612543488, Sun Feb 09 14:14:58 +0000 2014, Tokyo
432518002311843840, Sun Feb 09 14:15:02 +0000 2014, Kuala Lumpur
432518019135176704, Sun Feb 09 14:15:06 +0000 2014, Tokyo
432518191902773248, Sun Feb 09 14:15:47 +0000 2014, Jakarta
432518241936625664, Sun Feb 09 14:15:59 +0000 2014, Beijing
